"Freq [GHz]","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='2'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='3'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='4'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='5'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='6'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='7'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='8'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='9'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='10'","mag(S(FloquetPort1:1,FloquetPort2:1)) [] - $varyingpermittivity='2'","mag(S(FloquetPort1:1,FloquetPort2:1)) [] - $varyingpermittivity='3'","mag(S(FloquetPort1:1,FloquetPort2:1)) [] - $varyingpermittivity='4'","mag(S(FloquetPort1:1,FloquetPort2:1)) [] - $varyingpermittivity='5'","mag(S(FloquetPort1:1,FloquetPort2:1)) [] - $varyingpermittivity='6'","mag(S(FloquetPort1:1,FloquetPort2:1)) [] - $varyingpermittivity='7'","mag(S(FloquetPort1:1,FloquetPort2:1)) [] - $varyingpermittivity='8'","mag(S(FloquetPort1:1,FloquetPort2:1)) [] - $varyingpermittivity='9'","mag(S(FloquetPort1:1,FloquetPort2:1)) [] - $varyingpermittivity='10'"
2.33,0.170929877227501,0.268094198450245,0.333202137036828,0.382676576271967,0.420409891670339,0.451374057962734,0.478207610086456,0.500292435332631,0.519306383510264,0.985290732227612,0.963393801764215,0.942854156301838,0.92388217585641,0.907332536704762,0.892334787012869,0.878246706838585,0.86585656530742,0.854588100013013
2.34,0.17094962034977,0.268087604925357,0.333210478617958,0.382684150768029,0.420371088581446,0.451391809044533,0.478248111730151,0.500282063915509,0.519291193764109,0.985288062792808,0.963395604756968,0.942851287524385,0.923879031397435,0.907350347317011,0.892325822074934,0.878224647574502,0.865862551638305,0.854597332575232
2.35,0.170971874099305,0.268080209755332,0.333220432421526,0.382687690283581,0.420331077811733,0.451412597831549,0.478284008495865,0.500269636613104,0.519281468301096,0.985284863292385,0.963397623877005,0.942847853648433,0.923877561748199,0.90736874249075,0.892315322251789,0.878205097031911,0.865869720492384,0.854603247356679
2.36,0.170996666519693,0.268072048051408,0.333231990348224,0.382687009659751,0.420290274338881,0.451436290106826,0.478314639939144,0.500255333960289,0.519277620066722,0.985281113250864,0.963399849643046,0.942843856363259,0.923877843345111,0.907387533786332,0.892303354281949,0.878188415590673,0.865877967654531,0.854605593942218
2.37,0.171024019060412,0.268063162293634,0.333245132117506,0.382681952948548,0.420249113221598,0.451462708228733,0.478339391093604,0.500239371422954,0.519279969647821,0.985276793920228,0.963402270611125,0.942839301613077,0.923879940431716,0.907406523001853,0.892290006838706,0.878174938716212,0.865887169082885,0.854604177736552
2.38,0.171053946301714,0.268053602374198,0.33325982502882,0.3826723960921,0.420208045361635,0.45149163185156,0.4783577026246,0.500221996826936,0.519288735376332,0.985271888553712,0.963404873359434,0.942834199702305,0.923883903963933,0.90742550403325,0.892275390204736,0.878164971384892,0.865897182396247,0.854598865894007
2.39,0.171086455693397,0.268043425595554,0.333276023812881,0.382658249416483,0.420167532954128,0.451522799234917,0.47836908055976,0.50020348714978,0.519304024952749,0.985266382682402,0.96340764248432,0.942828565370075,0.923889770593476,0.907444264887777,0.892259635649564,0.878158782746933,0.865907848710547,0.854589592339953
2.4,0.171121547308974,0.268032696621918,0.333293670576621,0.382639459908024,0.420128044668207,0.451555909146679,0.47837310544566,0.50018414471006,0.519325828817114,0.985260264392425,0.96341056060787,0.942822417832225,0.923897561742052,0.907462589834466,0.8922428945068,0.878156601111051,0.865918994804342,0.854576361753152
2.41,0.171159213616789,0.268021487383034,0.333312694844815,0.382616013240918,0.420090050604165,0.451590623356572,0.478369440782775,0.500164292801239,0.519354015470431,0.98525352460034,0.963413608397431,0.942815780789232,0.923907282778486,0.907480261672963,0.892225336951853,0.878158609333132,0.865930435587195,0.854559252393112
2.42,0.171199439269665,0.268009876929369,0.333333013700696,0.382587935526337,0.420054017077336,0.451626569709546,0.478357840595701,0.500144270828871,0.51938832891867,0.985246157324227,0.963416764597394,0.942808682398908,0.923918922310451,0.907497064100043,0.892207150484882,0.87816494068824,0.865941976838752,0.854538417674146
2.43,0.171242200914684,0.267997951238253,0.333354532027177,0.382555294754987,0.420020401282242,0.451663345759917,0.478338156002565,0.500124429021052,0.519428388375502,0.985238159947779,0.96342000607346,0.942801155212724,0.923932451601668,0.90751278415116,0.892188538127802,0.878175675301056,0.865953418181045,0.854514086407963
2.44,0.171287467024764,0.267985802970752,0.333377142849577,0.382518201907215,0.419989645893439,0.451700522938932,0.47831034065642,0.500105122792155,0.519473690319249,0.985229533474604,0.963423307869593,0.942793236075028,0.923947824124931,0.907527214692558,0.892169716348262,0.878190837204483,0.865964556241249,0.854486561658999
2.45,0.171335197753674,0.267973531179423,0.333400727779973,0.382476811707313,0.419962173661832,0.451737651220067,0.478274454942298,0.500086706848809,0.519523612954819,0.985220282769793,0.963426643277751,0.942784965984695,0.923964975260185,0.907540156937931,0.892150912727668,0.878210392089695,0.86597518795761,0.854456218180806
2.46,0.171385344816188,0.267961240967422,0.33342515756258,0.382431323001547,0.419938382066935,0.451774264238135,0.478230668826433,0.500069529134627,0.519577423083894,0.985210416785706,0.963429983920455,0.942776389918946,0.923983822145879,0.907551422962185,0.892132363394312,0.878234245803369,0.865985113977451,0.854423498427365
2.47,0.171437851395065,0.267949043099738,0.333450292718757,0.382381978742685,0.419918638086698,0.451809884810258,0.478179263268762,0.500053924716005,0.51963428533717,0.985199948768807,0.96343329984614,0.942767556619465,0.92400426369083,0.907560838183791,0.892114310246636,0.878262243639295,0.865994142092909,0.854388907159554
